user_id,signup_date,country,region,plan_type,signup_channel,age_group,subscription_duration_days,total_payments,total_watch_time,avg_watch_time_per_session,days_since_last_activity,support_ticket_count,failed_payment_ratio,subscription_duration_months,payment_per_month,watch_time_per_day
100001,2025-01-01,Canada,West,Premium,Web,18-25,32,154.88,57574,232,14,1,0.06,1.0666666666666667,145.2,1799.1875
100002,2025-01-02,Germany,West,Basic,Mobile,55+,237,466.95,91545,633,8,0,0.21,7.9,59.10759493670886,386.26582278481015
100003,2025-01-03,India,West,Premium,Mobile,46-55,226,266.37,28675,1074,38,7,0.12,7.533333333333333,35.35884955752213,126.88053097345133
100004,2025-01-04,Germany,West,Basic,Mobile,36-45,154,143.18,73267,368,41,3,0.37,5.133333333333334,27.892207792207792,475.7597402597403
100005,2025-01-05,Germany,West,Premium,Web,36-45,167,205.59,41563,1535,47,2,0.13,5.566666666666666,36.93233532934132,248.88023952095807
100006,2025-01-06,UK,North,Premium,Mobile,46-55,54,303.31,12332,772,11,3,0.44,1.8,168.50555555555556,228.37037037037038
100007,2025-01-07,India,West,Standard,Web,55+,97,329.95,20177,1742,31,4,0.45,3.2333333333333334,102.04639175257732,208.01030927835052
100008,2025-01-08,India,North,Basic,Tablet,26-35,90,85.42,90254,890,24,0,0.1,3.0,28.473333333333333,1002.8222222222222
100009,2025-01-09,India,West,Standard,Web,18-25,58,488.75,69447,1988,38,0,0.31,1.9333333333333333,252.80172413793105,1197.3620689655172
100010,2025-01-10,Germany,East,Basic,Tablet,55+,48,276.94,58104,1870,17,2,0.04,1.6,173.08749999999998,1210.5
100011,2025-01-11,Canada,South,Premium,Web,46-55,200,76.49,85335,117,14,5,0.2,6.666666666666667,11.4735,426.675
100012,2025-01-12,India,North,Premium,Tablet,18-25,103,447.88,81730,1877,31,0,0.36,3.433333333333333,130.45048543689322,793.495145631068
100013,2025-01-13,Germany,West,Basic,Mobile,36-45,90,46.57,5951,216,5,1,0.33,3.0,15.523333333333333,66.12222222222222
100014,2025-01-14,UK,East,Standard,Tablet,26-35,182,454.79,29333,897,57,6,0.31,6.066666666666666,74.96538461538462,161.17032967032966
100015,2025-01-15,Canada,South,Standard,Mobile,36-45,305,498.32,22673,1917,43,0,0.14,10.166666666666666,49.01508196721311,74.33770491803278
100016,2025-01-16,UK,North,Standard,Mobile,46-55,77,353.21,41870,1267,42,6,0.19,2.566666666666667,137.6142857142857,543.7662337662338
100017,2025-01-17,Canada,South,Standard,Tablet,18-25,240,387.52,72101,1840,51,3,0.05,8.0,48.44,300.42083333333335
100018,2025-01-18,Germany,East,Premium,Web,46-55,168,175.28,23821,650,34,9,0.36,5.6,31.3,141.79166666666666
100019,2025-01-19,USA,North,Premium,Web,18-25,139,471.37,26494,1028,33,5,0.25,4.633333333333334,101.73453237410071,190.6043165467626
100020,2025-01-20,Canada,South,Premium,Web,55+,212,269.56,75160,1789,37,7,0.35,7.066666666666666,38.14528301886793,354.52830188679246
100021,2025-01-21,UK,West,Premium,Web,26-35,57,368.87,1835,1811,55,8,0.12,1.9,194.1421052631579,32.19298245614035
100022,2025-01-22,Germany,North,Premium,Web,55+,226,462.81,19646,852,53,5,0.16,7.533333333333333,61.43495575221239,86.929203539823
100023,2025-01-23,Canada,South,Standard,Mobile,55+,220,487.84,78360,521,56,8,0.17,7.333333333333333,66.52363636363636,356.1818181818182
100024,2025-01-24,USA,East,Standard,Web,46-55,344,418.27,38335,1492,4,3,0.01,11.466666666666667,36.477034883720926,111.43895348837209
100025,2025-01-25,USA,East,Standard,Mobile,26-35,80,158.48,70351,745,17,5,0.17,2.6666666666666665,59.43,879.3875
100026,2025-01-26,India,North,Standard,Mobile,18-25,178,483.61,3429,657,15,7,0.4,5.933333333333334,81.50730337078652,19.264044943820224
100027,2025-01-27,India,South,Premium,Mobile,18-25,297,317.78,42950,149,7,8,0.45,9.9,32.09898989898989,144.6127946127946
100028,2025-01-28,UK,North,Premium,Tablet,36-45,79,466.01,61654,777,24,2,0.26,2.6333333333333333,176.96582278481011,780.4303797468355
100029,2025-01-29,Canada,North,Premium,Tablet,18-25,275,341.29,69143,205,31,1,0.23,9.166666666666666,37.23163636363637,251.42909090909092
100030,2025-01-30,Canada,South,Basic,Mobile,46-55,142,160.55,92186,1339,25,5,0.02,4.733333333333333,33.91901408450705,649.1971830985915
100031,2025-01-31,India,South,Standard,Tablet,55+,199,191.31,98889,757,51,3,0.44,6.633333333333334,28.840703517587936,496.92964824120605
100032,2025-02-01,Canada,West,Standard,Web,55+,195,279.73,78527,1548,21,0,0.01,6.5,43.035384615384615,402.7025641025641
100033,2025-02-02,Canada,South,Premium,Web,55+,43,397.11,87704,1195,30,7,0.47,1.4333333333333333,277.05348837209306,2039.6279069767443
