user_id,ticket_id,issue_type,created_date,resolved_date
49524,f8e3b361-78f5-4829-9553-d2f46e7907da,Billing,2025-08-30,2025-09-24
49524,023830a6-29e0-4ff2-96ef-7307b58c47ef,Account,2025-07-25,2025-05-17
49524,2cbfed26-d01f-4913-9e57-52be05b2fe5e,Streaming,2025-07-05,2025-07-20
672,3f95c4d1-200f-4aed-9c07-d2e10f266a28,Account,2025-07-05,2025-07-25
10497,e7c0b016-6fb7-431f-b62f-ebf72f7e709e,Billing,2025-08-24,2025-09-14
10497,15893443-5511-488e-b4e8-da64a09fbd68,Streaming,2025-09-30,2025-09-01
10497,04f0ae57-c515-44b6-b65c-c4b3682fac75,Technical,2025-06-17,2025-09-01
2651,a011ed9a-2826-4a83-9454-662f4c853c8d,Billing,2025-05-05,2025-08-27
2651,b1d539cb-065d-4120-b0c0-a85d71b67f16,Streaming,2025-04-16,2025-08-26
1087,4d988677-a92d-4e49-a7e3-a0689f2ed585,Technical,2025-10-07,2025-07-26
1087,38e8bffd-aac8-4c18-bc01-68d7e77de94e,Account,2025-09-01,2025-06-20
1087,77232046-ba77-4045-a51e-77058bbed3ed,Account,2025-07-24,2025-08-16
41258,ca2d567d-c5b8-4882-9d31-0e6458031a88,Streaming,2025-10-14,2025-06-07
41258,3f3dc8e5-b9e0-4781-ac77-fb8e574eff05,Streaming,2025-05-24,2025-05-22
38312,bdd4171e-7f3b-40ba-bc03-6653c2f7c727,Technical,2025-07-09,2025-07-13
28748,91062c1f-9c73-4cae-b77e-3e584575b970,Account,2025-08-19,2025-09-06
28748,1845f107-40d7-4416-a847-780b64716de7,Billing,2025-05-24,2025-07-21
28748,cb4a050e-0e4c-4380-97b4-ade5372a3648,Technical,2025-05-31,2025-07-08
35006,977813c3-8cbf-4462-8710-2e55717be8b0,Account,2025-06-30,2025-09-02
35006,a665350b-42e6-47c1-a78d-dacecfa78ad2,Billing,2025-08-10,2025-08-19
42271,df0655f1-485f-4e2c-911c-68b93bf4acf5,Technical,2025-10-03,2025-05-22
42271,80923f6b-b67b-4574-9928-ddf759425903,Technical,2025-09-09,2025-07-05
47063,6e0a4f0d-0fb0-413c-bb96-58074b799d13,Account,2025-06-04,2025-07-29
9901,04963dcb-92ed-41b4-9cc6-e81c7dfa99bd,Streaming,2025-04-22,2025-05-17
9901,602fd89a-04a5-479a-8600-d749aa7aed0e,Account,2025-08-13,2025-09-11
14397,96d2943a-e569-49cf-89a3-978441a1b437,Streaming,2025-08-28,2025-07-17
14397,bb8da4db-042b-48af-b7f8-b17bed8f43e5,Account,2025-09-11,2025-06-09
45784,5ccb2cd8-4608-4027-9028-d3e374baecad,Account,2025-09-23,2025-09-10
14127,52c00ae0-8ddc-4297-b6d5-c53ace3e9b64,Account,2025-10-02,2025-05-19
14127,f8ee55d3-63ae-47ae-b81e-920dd53d0f9d,Technical,2025-09-11,2025-08-19
3483,2ffa3977-8634-4691-9536-56145adb1ae0,Billing,2025-06-28,2025-06-26
39431,7d6d15df-e759-486b-b1c3-a1363d9cc292,Account,2025-10-07,2025-08-21
5127,72bcbd2e-ad1f-403e-83e4-86cb0587ca24,Account,2025-08-13,2025-06-18
5127,98ed8965-acca-4227-96ab-f26c0990de34,Streaming,2025-07-28,2025-10-01
